City_ID,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
211,tempio pausania,IT,1528903800,40.9,9.1,69.8,40,77,11.41
212,kununurra,AU,1528902000,-15.77,128.74,73.4,75,73,5.82
213,zhob,PK,1528905423,31.34,69.45,80.95,0,10,5.64
214,los llanos de aridane,ES,1528903800,28.66,-17.92,73.4,20,60,12.75
215,nohar,IN,1528905423,29.18,74.77,98.5,0,22,9.55
216,sainte-suzanne,CH,1528903800,47.51,6.77,66.2,76,48,10.29
217,crotone,IT,1528901400,39.09,17.12,82.4,0,42,23.04
218,gambela,ET,1528905424,8.25,34.59,68.62,92,94,2.95
219,kavaratti,IN,1528905424,10.57,72.64,81.67,80,100,22.64
220,ust-ilimsk,RU,1528905425,57.96,102.73,60.61,12,87,1.95
221,leo,BF,1528905429,11.1,-2.1,94.72,0,66,4.63
222,totolapan,MX,1528902840,18.99,-98.92,59,75,77,5.82
223,funtua,NG,1528905429,11.52,7.31,90.67,44,50,2.17
224,salalah,OM,1528901400,17.01,54.1,84.2,75,89,10.29
225,burnie,AU,1528905430,-41.05,145.91,51.88,92,100,21.07
226,boulder city,US,1528902900,35.98,-114.83,89.6,1,11,3.51
227,massakory,TD,1528905431,13,15.73,100.21,0,46,6.98
228,arlit,NE,1528905432,18.74,7.39,110.92,0,14,4.74
229,zhigansk,RU,1528905432,66.77,123.37,56.83,0,56,4.97
230,florianopolis,BR,1528902000,-27.6,-48.55,69.8,40,64,3.36
231,lavrentiya,RU,1528905432,65.58,-170.99,35.95,0,76,8.43
232,bluefield,US,1528902900,37.27,-81.22,78.8,90,78,11.41
233,te anau,NZ,1528905433,-45.41,167.72,27.22,8,80,2.84
234,marawi,PH,1528905433,8,124.29,66.73,44,99,2.28
235,amapa,HN,1528905600,15.09,-87.97,84.2,75,83,4.7
236,palmer,AU,1528902000,-34.85,139.16,55.4,75,82,17.22
237,cidreira,BR,1528905434,-30.17,-50.22,51.97,0,81,26.33
238,saint-pierre,FR,1528903800,48.95,4.24,66.2,90,67,12.75
239,aykhal,RU,1528905439,65.95,111.51,62.23,32,57,4.74
240,ondangwa,NA,1528902000,-17.91,15.98,84.2,0,13,2.24
241,pitimbu,BR,1528902000,-7.47,-34.81,84.2,40,54,17.22
242,grandview,US,1528905300,38.89,-94.53,80.6,1,65,10.29
243,williston,US,1528902900,48.15,-103.62,71.6,1,36,8.05
244,maniitsoq,GL,1528905442,65.42,-52.9,36.31,68,97,5.53
245,krasnyy yar,RU,1528905443,50.7,44.73,64.03,92,86,8.21
246,nouadhibou,MR,1528902000,20.93,-17.03,80.6,20,47,14.99
247,buritama,BR,1528905444,-21.07,-50.14,75.1,68,95,6.31
248,longyearbyen,NO,1528901400,78.22,15.63,33.8,90,86,18.34
249,lasa,CY,1528903800,34.92,32.53,80.6,20,74,6.93
250,college,US,1528901880,64.86,-147.8,42.8,1,75,3.36
251,ust-tsilma,RU,1528905445,65.44,52.15,54.4,12,84,3.62
252,saint-augustin,FR,1528903800,44.83,-0.61,69.8,64,82,12.75
253,berlevag,NO,1528901400,70.86,29.09,42.8,75,70,13.87
254,havoysund,NO,1528903200,71,24.66,42.8,75,87,13.87
255,kamina,CD,1528905450,-8.74,25,85,0,23,7.99
256,yaan,NG,1528905450,7.38,8.57,85.9,48,100,7.09
257,makakilo city,US,1528901820,21.35,-158.09,77,1,83,4.7
258,along,IN,1528905450,28.17,94.8,68.89,100,98,1.5
259,vanimo,PG,1528905451,-2.67,141.3,83.65,88,100,4.29
260,hovd,NO,1528903200,63.83,10.7,62.6,75,48,4.7
261,la maddalena,IT,1528903200,39.15,9.02,75.2,40,57,17.22
262,grand gaube,MU,1528902000,-20.01,57.66,75.2,75,69,14.99
263,novoagansk,RU,1528905453,61.94,76.66,67.81,20,37,8.43
264,kearney,US,1528902900,40.7,-99.08,71.6,90,64,14.99
265,geraldton,CA,1528902000,49.72,-86.95,62.6,75,63,8.05
266,castro,CL,1528905454,-42.48,-73.76,39.73,0,99,2.73
267,luganville,VU,1528905455,-15.51,167.18,75.19,92,100,4.85
268,mahebourg,MU,1528902000,-20.41,57.7,75.2,75,69,14.99
269,vostok,RU,1528905455,46.45,135.83,45.04,44,83,1.95
270,esperance,TT,1528902000,10.24,-61.45,80.6,75,88,12.75
271,fare,PF,1528905456,-16.7,-151.02,79.42,0,100,13.91
272,toora-khem,RU,1528905456,52.47,96.11,57.82,92,83,2.84
273,santa rita,VE,1528905458,10.21,-67.56,83.65,36,64,2.73
274,west bay,GB,1528903200,50.71,-2.76,68,40,77,12.75
275,gamba,CN,1528905459,28.28,88.52,32.35,92,91,2.28
276,rudnya,RU,1528905459,50.8,44.56,63.31,92,88,7.65
277,norman wells,CA,1528902000,65.28,-126.83,44.6,90,65,5.82
278,salinas,US,1528904100,36.67,-121.66,60.8,1,67,3.62
279,ugoofaaru,MV,1528905461,5.67,73,82.93,80,100,8.77
280,kiunga,PG,1528905464,-6.12,141.3,74.29,88,94,2.06
281,koumac,NC,1528905465,-20.56,164.28,67.9,76,96,4.07
282,adre,TD,1528905465,13.47,22.2,103.27,20,16,8.66
283,ahtopol,BG,1528903800,42.1,27.94,77,0,57,13.87
284,slantsy,RU,1528905466,59.12,28.09,62.5,0,55,4.18
285,mallaig,GB,1528905466,57.01,-5.83,53.95,92,99,24.09
286,auch,FR,1528903800,43.65,0.59,73.4,40,56,10.29
287,pathein,MM,1528905467,16.78,94.73,76.9,92,96,14.81
288,maceio,BR,1528905600,-9.67,-35.74,75.2,75,88,6.93
289,oloron-sainte-marie,FR,1528903800,43.19,-0.61,68,88,93,11.41
290,isangel,VU,1528905468,-19.55,169.27,74.2,68,100,14.36
291,manglaur,IN,1528905468,29.79,77.88,82.57,0,64,2.39
292,wenling,CN,1528905468,28.38,121.38,74.56,92,95,3.96
293,pak phanang,TH,1528905469,8.35,100.2,85.99,48,93,10.22
294,aksay,RU,1528905469,47.27,39.86,87.43,0,21,3.74
295,baghdad,IQ,1528902000,33.3,44.38,104,0,14,4.7
296,fort nelson,CA,1528902000,58.81,-122.69,41,90,86,9.17
297,fuerte olimpo,BR,1528905470,-21.04,-57.87,60.97,92,75,12.8
298,bandarban,BD,1528902000,22.2,92.22,80.6,90,94,13.87
299,mao,DO,1528902000,19.55,-71.08,89.6,40,62,12.75
300,christchurch,NZ,1528903800,-43.53,172.64,48.2,100,93,8.05
301,goderich,CA,1528905435,43.74,-81.71,68.17,32,88,11.45
302,kizema,RU,1528905476,61.11,44.83,53.86,56,66,18.39
303,quatre cocos,MU,1528902000,-20.21,57.76,75.2,75,69,14.99
304,kalur kot,PK,1528905476,32.16,71.27,91.03,44,41,1.95
305,singaraja,ID,1528905476,-8.11,115.08,66.73,64,100,1.95
306,coquimbo,CL,1528902000,-29.95,-71.34,53.6,0,62,8.05
307,urengoy,RU,1528905477,65.96,78.37,69.25,12,59,12.24
308,yaypan,UZ,1528905477,40.38,70.82,76.54,24,43,3.62
309,seoul,KR,1528902000,37.57,126.98,71.6,75,68,3.36
310,acopiara,BR,1528905477,-6.09,-39.45,83.2,0,51,11.23
311,warrnambool,AU,1528905363,-38.38,142.48,51.43,76,100,17.72
312,phan thiet,VN,1528905478,10.93,108.1,78.61,36,100,10
313,ilebo,CD,1528905478,-4.33,20.59,94.72,12,22,5.19
314,kijang,KR,1528902000,35.24,129.21,68,40,72,13.87
